iter	RMSE
193	4.781774486
194	4.77731457
195	4.774432717
196	4.771160841
197	4.767583002
198	4.764095603
199	4.760497189
200	4.757232946
201	4.753404291
202	4.745762914
203	4.740454659
204	4.736279423
205	4.734665777
206	4.731215949
207	4.725976531
208	4.723157867
209	4.718211152
210	4.716259101
211	4.714638292
212	4.711989707
213	4.709781181
214	4.706950467
215	4.702968432
216	4.698006191
217	4.692855554
218	4.690394235
219	4.687835047
220	4.681427969
221	4.677426793
222	4.673376891
223	4.669963188
224	4.667565427
225	4.664766409
226	4.661501396
227	4.660156916
228	4.655227002
229	4.64995639
230	4.646196804
231	4.640603241
232	4.634668858
233	4.629467485
234	4.624836105
235	4.622976873
236	4.621448221
237	4.617279625
238	4.614246868
239	4.60991674
240	4.608237778
241	4.603843273
242	4.601442353
243	4.597029194
244	4.594358918
245	4.593365362
246	4.58568171
247	4.584934985
248	4.578428011
249	4.574164308
250	4.569012913
251	4.564743488
252	4.563303393
253	4.561506545
254	4.558375689
255	4.554520058
256	4.550103269
257	4.546389306
258	4.538564891
259	4.537038153
260	4.532471001
261	4.529830341
262	4.525416495
263	4.523673868
264	4.523317892
265	4.52266057
266	4.519947879
267	4.517499575
268	4.515060456
269	4.510604695
270	4.50500471
271	4.499471403
272	4.497583597
273	4.495796492
274	4.49305114
275	4.486424276
276	4.480523955
277	4.478071796
278	4.474454071
279	4.469991748
280	4.46668793
281	4.460651401
282	4.455332199
283	4.452452378
284	4.44984297
285	4.445451837
286	4.437831605
287	4.433682
288	4.429043306
289	4.427869553
290	4.426773136
291	4.422741686
292	4.420200017
293	4.418733532
294	4.417217169
295	4.41206261
296	4.405798264
297	4.399204642
298	4.39304093
299	4.388209736
300	4.382438836
301	4.380540804
302	4.3769442
303	4.373378139
304	4.368660712
305	4.364703475
306	4.361843265
307	4.358008396
308	4.353608965
309	4.348586285
310	4.346649499
311	4.34437877
312	4.337925185
313	4.331965899
314	4.328877006
315	4.326382416
316	4.326145222
317	4.325370011
318	4.323004035
319	4.31916786
320	4.313362385
321	4.307815846
322	4.303555424
323	4.299648928
324	4.29694752
325	4.293878916
326	4.289902999
327	4.287749846
328	4.285523591
329	4.283914361
330	4.279657343
331	4.276545471
332	4.273267166
333	4.26738637
334	4.263174904
335	4.259782871
336	4.256918345
337	4.252682329
338	4.247848362
339	4.243659487
340	4.23941961
341	4.234389944
342	4.231705968
343	4.226502343
344	4.221096684
345	4.218345975
346	4.216873754
347	4.21352793
348	4.207198015
349	4.201613779
350	4.195735371
351	4.195570955
352	4.19358764
353	4.190109607
354	4.188480001
355	4.186621745
356	4.18278109
357	4.176893873
358	4.17202968
359	4.169196393
360	4.167006558
361	4.160403857
362	4.159920462
363	4.155991553
364	4.153005954
365	4.14966273
366	4.14486578
367	4.141890013
368	4.13779053
369	4.135190163
370	4.13487713
371	4.13389459
372	4.131874331
373	4.131722018
374	4.12926704
375	4.126565177
376	4.121715689
377	4.116928082
378	4.114115064
379	4.111894932
380	4.111462485
381	4.108940518
382	4.104797141
383	4.097740482
384	4.097089102
385	4.091919812
386	4.091740499
387	4.087630877
388	4.08570924
389	4.079828416
390	4.078677284
391	4.078230263
392	4.076433227
393	4.071484309
394	4.068838272
395	4.066304839
396	4.065961136
397	4.063848768
398	4.059636621
399	4.057488925
400	4.053193743
401	4.051346862
402	4.047316227
403	4.042253647
404	4.038767928
405	4.035169304
406	4.032928402
407	4.029709594
408	4.026929955
409	4.025196906
410	4.020445425
411	4.015943909
412	4.011750717
413	4.008351503
414	4.005422074
415	4.00304587
416	4.002823219
417	3.999670059
418	3.99924718
419	3.997675362
420	3.992434207
421	3.990594866
422	3.986549965
423	3.983411518
424	3.983000428
425	3.9825614
426	3.979296271
427	3.97572913
428	3.974134237
429	3.97233739
430	3.970802487
431	3.967899334
432	3.967734033
433	3.966058024
434	3.965841558
435	3.960918627
436	3.959559161
437	3.955016069
438	3.953378798
439	3.95141538
440	3.946746691
441	3.941960349
442	3.938973946
443	3.937947251
444	3.93583508
445	3.934567233
446	3.929785107
447	3.9257215
448	3.922603796
449	3.922341013
450	3.917980702
451	3.915049515
452	3.910757125
453	3.909628171
454	3.90686956
455	3.903117863
456	3.900884863
457	3.898410477
458	3.898079368
459	3.897758665
460	3.894055259
461	3.893759305
462	3.8898663
463	3.88796479
464	3.885189407
465	3.881999923
466	3.880394291
467	3.877159649
468	3.87576691
469	3.874675212
470	3.873083796
471	3.872281103
472	3.871422244
473	3.868616358
474	3.866751895
475	3.863778392
476	3.859313423
477	3.856600816
478	3.854779643
479	3.851686796
480	3.849877908
481	3.845717663
482	3.841199743
483	3.836251997
484	3.833994331
485	3.831313212
486	3.826940968
487	3.825594688
488	3.821533908
489	3.818079741
490	3.815974508
491	3.814127515
492	3.810085842
493	3.807675051
494	3.80729979
495	3.803468883
496	3.800887346
497	3.798034917
498	3.797848605
499	3.795827057
500	3.795645928
501	3.794239891
502	3.794053573
503	3.793481372
504	3.793292219
505	3.7895243
506	3.787967533
507	3.785449807
508	3.783379523
509	3.77852881
510	3.778168072
511	3.775124432
512	3.774841
513	3.772367928
514	3.768441674
515	3.766985866
516	3.766084298
517	3.76392991
518	3.760342404
519	3.758376547
520	3.754882254
521	3.754794699
522	3.751914445
523	3.751655602
524	3.750932725
525	3.749129643
526	3.747658066
527	3.745099213
528	3.744931581
529	3.743975602
530	3.739603588
531	3.738817674
532	3.735079
533	3.733302315
534	3.731874415
535	3.72849124
536	3.725068548
537	3.723286665
538	3.720918762
539	3.717996078
540	3.716416422
541	3.711982645
542	3.711735657
543	3.709823131
544	3.707233897
545	3.703340065
546	3.699157537
547	3.695988943
548	3.694321381
549	3.694140708
550	3.693803806
551	3.691870278
552	3.689783447
553	3.687386728
554	3.685161836
555	3.684869972
556	3.68358714
557	3.682060777
558	3.680952499
559	3.678509334
560	3.674865272
561	3.674157972
562	3.673640839
563	3.672566305
564	3.669620915
565	3.665634934
566	3.663582569
567	3.66050246
568	3.658697512
569	3.6577754
570	3.655981485
571	3.653818997
572	3.651734664
573	3.647821227
574	3.64648951
575	3.64516238
576	3.641245284
577	3.640114077
578	3.63907372
579	3.637914774
580	3.636109081
581	3.634201205
582	3.631841843
583	3.631104551
584	3.629394881
585	3.629079853
586	3.624573951
587	3.623343285
588	3.622265205
589	3.619117809
590	3.615486244
591	3.611856127
592	3.609766399
593	3.606439317
594	3.602696766
595	3.599339415
596	3.596082533
597	3.592912037
598	3.592721255
599	3.589239305
600	3.585991785
601	3.582776444
602	3.579679235
603	3.577450113
604	3.576319286
605	3.575223811
606	3.573472927
607	3.570759149
608	3.566340555
609	3.563833624
610	3.561919181
611	3.558371979
612	3.557802595
613	3.557198589
614	3.556572197
615	3.555851069
616	3.554134779
617	3.552083242
618	3.55018277
619	3.547923483
620	3.545198235
621	3.544208067
622	3.54251234
623	3.540408827
624	3.537393081
625	3.533396636
626	3.533305239
627	3.529753263
628	3.528340533
629	3.526188096
630	3.52464681
631	3.52302112
632	3.522862594
633	3.521205285
634	3.519085964
635	3.516081076
636	3.513291263
637	3.511680826
638	3.509215823
639	3.507962493
640	3.506836126
641	3.505394121
642	3.502700117
643	3.499743017
644	3.498187188
645	3.494300758
646	3.492663227
647	3.488299425
648	3.486629103
649	3.485196842
650	3.482481486
651	3.480862059
652	3.479640012
653	3.475721877
654	3.474480662
655	3.473832277
656	3.470567213
657	3.467221536
658	3.464619684
659	3.463888288
660	3.462127113
661	3.459478331
662	3.457990358
663	3.455005757
664	3.450842971
665	3.450736399
666	3.449424086
667	3.446915499
668	3.444896543
669	3.441560213
670	3.440693164
671	3.438854758
672	3.438755891
673	3.438514224
674	3.437869325
675	3.436202325
676	3.43469564
677	3.434561647
678	3.43176184
679	3.429924052
680	3.428852642
681	3.425703708
682	3.421961552
683	3.421813474
684	3.421063236
685	3.419854895
686	3.418744811
687	3.417883689
688	3.416194741
689	3.412895307
690	3.412317631
691	3.408457025
692	3.406729312
693	3.40515438
694	3.402120642
695	3.399685031
696	3.398505478
697	3.397764036
698	3.397681148
699	3.395314306
700	3.392588443
701	3.389449247
702	3.388125803
703	3.387764251
704	3.386199649
705	3.384914045
706	3.38128396
707	3.379787724
708	3.378546921
709	3.375590701
710	3.374300939
711	3.373182293
712	3.371715046
713	3.368963454
714	3.367647694
715	3.366695211
716	3.364319775
717	3.361140747
718	3.358199674
719	3.356038283
720	3.355952617
721	3.35586871
722	3.353568685
723	3.350571416
724	3.348181669
725	3.347249279
726	3.346437519
727	3.345057784
728	3.341766025
729	3.340738293
730	3.338375944
731	3.33568642
732	3.331103862
733	3.327228096
734	3.325045112
735	3.322600677
736	3.321514509
737	3.318793776
738	3.316383036
739	3.3140738
740	3.312052332
741	3.30796958
742	3.305912335
743	3.304542143
744	3.301567614
745	3.300142459
746	3.300026633
747	3.297451468
748	3.296311137
749	3.293860413
750	3.290223581
751	3.287722815
752	3.287649366
753	3.286119593
754	3.281746331
755	3.278659379
756	3.277453351
757	3.276325594
758	3.276154158
759	3.272479607
760	3.271500582
761	3.270483287
762	3.26977168
763	3.267109281
764	3.264265386
765	3.264126246
766	3.262218612
767	3.260995018
768	3.25993043
769	3.258530092
770	3.258028289
771	3.257109549
772	3.255387117
773	3.254756436
774	3.253920124
775	3.250896693
776	3.247879406
777	3.245088293
778	3.244590557
779	3.242732343
780	3.241741152
781	3.239755495
782	3.236849227
783	3.235990219
784	3.234695396
785	3.233132994
786	3.232137381
787	3.231318298
788	3.231208774
789	3.228466522
790	3.226894845
791	3.224832254
792	3.222729715
793	3.219740635
794	3.219164632
795	3.2180235
796	3.216300435
797	3.215629732
798	3.213516063
799	3.211240036
800	3.210390944
801	3.207822584
802	3.206783402
803	3.20509165
804	3.20421922
805	3.204150522
806	3.204049473
807	3.199751986
808	3.199284757
809	3.199030807
810	3.198341691
811	3.197868305
812	3.19576385
813	3.194039874
814	3.192925592
815	3.192206381
816	3.189745658
817	3.185742291
818	3.1852757
819	3.183192206
820	3.182490086
821	3.17988999
822	3.177080671
823	3.176033114
824	3.172533363
825	3.171305324
826	3.169420057
827	3.167800585
828	3.167298508
829	3.166855962
830	3.165728671
831	3.164529228
832	3.161432456
833	3.160410726
834	3.159683969
835	3.157620751
836	3.155118717
837	3.15457858
838	3.154528318
839	3.153542148
840	3.152373359
841	3.150427457
842	3.147006319
843	3.146417542
844	3.146359599
845	3.144546404
846	3.142524235
847	3.140945123
848	3.139733785
849	3.137668278
850	3.136483717
851	3.13478323
852	3.132621835
853	3.131627279
854	3.130982244
855	3.130911741
856	3.129824804
857	3.12750187
858	3.126724856
859	3.124301517
860	3.122697191
861	3.121882499
862	3.120776704
863	3.118854716
864	3.117904327
865	3.117508236
866	3.11678826
867	3.113322822
868	3.112439997
869	3.111147686
870	3.110709945
871	3.108583156
872	3.108509574
873	3.106012271
874	3.103263084
875	3.100705875
876	3.099574698
877	3.097333616
878	3.095268552
879	3.093553267
880	3.09116947
881	3.088485932
882	3.086538434
883	3.086495023
884	3.086444156
885	3.084994889
886	3.084026278
887	3.083946997
888	3.082170186
889	3.080134021
890	3.078584621
891	3.077700107
892	3.076599895
893	3.0747142
894	3.072691372
895	3.072035695
896	3.070942741
897	3.067604908
898	3.065625416
899	3.062022029
900	3.060087295
901	3.059998605
902	3.056581369
903	3.055609768
904	3.054867605
905	3.053755795
906	3.052750888
907	3.05210445
908	3.05182579
909	3.049703688
910	3.049019364
911	3.048772591
912	3.048682393
913	3.047139818
914	3.046130495
915	3.045736653
916	3.04397729
917	3.043664178
918	3.043248992
919	3.041381225
920	3.041033992
921	3.03973548
922	3.037126568
923	3.03630781
924	3.03542815
925	3.034242595
926	3.031848212
927	3.030593854
928	3.02972452
929	3.027478055
930	3.025862845
931	3.023472971
932	3.021260476
933	3.02026256
934	3.017685571
935	3.015561708
936	3.015517259
937	3.013071203
938	3.009839928
939	3.008124183
940	3.006812693
941	3.005254533
942	3.003758105
943	3.003363139
944	3.001843188
945	3.000048787
946	2.997841773
947	2.996204255
948	2.993701018
949	2.993319181
950	2.993165615
951	2.992049566
952	2.991998433
953	2.989682076
954	2.986942143
955	2.98487173
956	2.983556235
957	2.98142842
958	2.97981317
959	2.978981451
960	2.978250585
961	2.977642445
962	2.976611017
963	2.975948141
964	2.975609938
965	2.973990252
966	2.972854366
967	2.971861255
968	2.969223392
969	2.967553189
970	2.964684173
971	2.963786945
972	2.961292662
973	2.961219564
974	2.960343353
975	2.95882207
976	2.957994032
977	2.954628878
978	2.953955096
979	2.953777158
980	2.952094914
981	2.951330498
982	2.950753428
983	2.950066277
984	2.947455197
985	2.947071116
986	2.946566549
987	2.944131028
988	2.943047922
989	2.942364354
990	2.942313721
991	2.940677074
992	2.938726824
993	2.938676354
994	2.935587119
995	2.934393259
996	2.931924791
997	2.931596767
998	2.930275845
999	2.930181152
